id,score,scLivingspaceSqmPrice,scLotareaSqmPrice,scPurchasePrice,scPricetrend,scCondition,scFiring_type,yearConstructed,lotArea,livingSpace,condition,noRooms,purchasePrice,pricepersqmlivingspace,pricepersqmlotarea
256,0.54,1,1,0.99,0.25,0,0,1910,390,81,no_information,3,83000,1024.6913580246915,212.82051282051282
257,0.54,1,1,0.99,0.27,0,0,1900,438,110,no_information,5,80000,727.2727272727273,182.64840182648402
258,0.55,1,1,0.99,0.29,0,0,1968,391,152,no_information,8,80000,526.3157894736842,204.60358056265986
259,0.56,1,1,0.98,0.4,0,0,2001,244,101,no_information,4,257000,2544.5544554455446,1053.27868852459
262,0.58,1,1,1,0.48,0,0,1994,1568,150,no_information,4,14000,93.33333333333333,8.928571428571429
264,0.51,1,1,0.99,0.06,0,0,1965,383,180,no_information,9,125000,694.4444444444445,326.37075718015666
265,0.56,1,1,0.99,0.38,0,0,1963,121,110,no_information,4,107000,972.7272727272727,884.297520661157
266,0.58,1,1,0.99,0.47,0,0,1915,1231,250,no_information,9,126000,504,102.35580828594638
268,0.49,1,0.99,0.88,0.09,0,0,2006,366,596,no_information,20,1408450,2363.1711409395975,3848.224043715847
269,0.58,1,1,0.97,0.51,0,0,2003,228,150,no_information,4,376000,2506.6666666666665,1649.122807017544
271,0.62,1,1,0.99,0.76,0,0,2004,846,126,no_information,4,160000,1269.8412698412699,189.12529550827423
274,0.53,1,1,0.98,0.19,0,0,1961,965,90,no_information,4,186000,2066.6666666666665,192.7461139896373
275,0.5,1,1,0.99,-0.01,0,0,1937,1005,150,no_information,5,134000,893.3333333333334,133.33333333333334
277,0.5,1,1,0.99,0,0,0,1959,590,139,no_information,5,146000,1050.3597122302158,247.45762711864407
280,0.56,1,1,0.99,0.36,0,0,1958,998,132,no_information,7,108000,818.1818181818181,108.21643286573146
281,0.55,1,1,0.98,0.32,0,0,1958,608,132,no_information,7,274000,2061.7005267118134,450.6578947368421
282,0.53,1,1,1,0.17,0,0,1900,188,122,no_information,5,38000,311.4754098360656,202.12765957446808
284,0.55,1,1,0.9299999999999999,0.38,0,0,1963,2634,253,no_information,6,800000,3162.0553359683795,303.7205770690964
285,0.58,1,1,0.98,0.52,0,0,1949,195,115,no_information,7,209000,1817.391304347826,1071.7948717948718
286,0.53,1,1,0.99,0.17,0,0,2006,480,140,no_information,4,82000,585.7142857142857,170.83333333333334
288,0.6,1,1,0.97,0.6,0,0,1975,373,254,no_information,8,395000,1555.1181102362204,1058.9812332439678
290,0.54,1,1,0.99,0.26,0,0,1900,300,188,no_information,5,142000,755.3191489361702,473.3333333333333
291,0.58,1,1,0.97,0.54,0,0,1930,1210,210,no_information,6,348000,1657.142857142857,287.60330578512395
292,0.55,1,1,0.99,0.29,0,0,1972,597,170,no_information,5,151000,888.2352941176471,252.93132328308207
293,0.58,1,1,0.96,0.51,0,0,1962,586,170,no_information,2,540000,3176.470588235294,921.5017064846417
295,0.6,1,1,1,0.59,0,0,1969,247,104,no_information,4,50000,480.7692307692308,202.42914979757086
296,0.59,1,1,0.97,0.56,0,0,1960,646,154,no_information,4,318000,2054.263565891473,492.26006191950466
297,0.57,1,1,0.97,0.43,0,0,1951,1285,219,no_information,7,380000,1735.1598173515981,295.7198443579766
298,0.56,1,1,0.99,0.35,0,0,1872,607,208,no_information,8,142000,682.3314593243957,233.9373970345964
299,0.56,1,1,0.97,0.38,0,0,1900,965,671,no_information,22,307000,457.5260804769002,318.13471502590676
300,0.58,1,1,0.98,0.5,0,0,1977,1169,123,no_information,4,195000,1585.3658536585365,166.8092386655261
301,0.61,1,1,0.99,0.68,0,0,1960,375,122,no_information,1,75000,614.7540983606557,200
302,0.53,1,1,0.99,0.2,0,0,2010,341,164,no_information,7,93800,571.9512195121952,275.0733137829912
303,0.6,1,1,0.92,0.65,0,0,1966,869,381,no_information,7,1000000,2624.6719160104985,1150.7479861910242
304,0.55,1,1,0.98,0.29,0,0,2000,888,180,no_information,6,245000,1361.111111111111,275.9009009009009
305,0.52,1,1,0.99,0.16,0,0,1953,385,63,no_information,3,80500,1263.537906137184,209.0909090909091
306,0.57,1,1,0.99,0.42,0,0,1968,1263,100,no_information,4,179000,1790,141.7260490894695
307,0.56,1,1,0.97,0.42,0,0,1996,629,159,no_information,4,375000,2358.490566037736,596.1844197138315
308,0.54,1,1,0.98,0.27,0,0,1981,767,180,no_information,4,187000,1038.888888888889,243.80704041720992
