ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01057084,96.04,96.04,96.04
01057085,96.02,96.02,96.02
01057086,100.0,100.0,100.0
01057087,62.41,45.79,0.68
01057088,41.95,25.58,0.41
01057089,5.88,1.18,1.18
01057090,54.08,36.9,2.82
01057091,97.65,96.22,91.19
01058001,70.2,62.08,0.0
01058003,85.56,72.2,2.41
01058004,73.88,70.15,63.43
01058005,97.58,96.37,88.02
01058007,89.38,89.38,89.38
01058008,84.0,60.94,1.41
01058009,94.02,94.02,94.02
01058010,2.86,1.43,1.43
01058011,95.92,95.92,95.92
01058012,85.76,80.15,55.3
01058013,91.91,90.44,86.76
01058014,53.5,41.0,1.0
01058015,95.87,95.87,95.87
01058016,73.02,73.02,73.02
01058018,92.04,92.04,92.04
01058019,88.89,64.44,0.74
01058021,85.1,85.1,85.1
01058022,100.0,99.01,99.01
01058023,91.73,90.16,90.16
01058024,93.02,90.04,89.9
01058025,3.49,1.16,1.16
01058026,44.01,28.49,1.77
01058027,89.02,89.02,89.02
01058028,81.13,67.42,0.16
01058029,2.03,0.34,0.34
01058030,65.87,25.92,1.08
01058031,6.9,5.17,5.17
01058032,59.59,59.59,59.59
01058033,94.0,92.0,92.0
01058034,99.55,99.0,98.33
01058035,4.05,0.29,0.29
01058036,94.83,75.0,0.0
01058037,83.43,79.85,73.67
01058038,94.22,92.0,92.0
01058039,4.32,1.23,1.23
01058040,78.95,62.28,25.22
01058042,74.42,74.42,74.42
01058043,99.65,98.6,91.9
01058044,95.14,93.12,93.12
01058045,90.97,90.97,90.97
01058046,89.0,89.0,89.0
01058047,9.06,0.0,0.0
01058048,1.03,0.0,0.0
01058049,83.17,83.17,82.04
01058050,80.16,74.95,73.35
01058051,5.87,2.83,2.83
01058052,98.11,96.91,96.81
01058053,96.87,94.86,89.07
01058054,97.29,93.96,90.97
01058055,45.16,38.71,38.71
01058056,1.72,0.0,0.0
01058057,83.41,82.49,82.49
01058058,89.51,83.92,58.53
01058059,94.08,93.1,93.1
01058061,90.98,89.85,89.85
01058062,91.67,91.67,91.67
01058063,85.56,85.56,85.56
01058064,90.91,81.82,79.87
01058065,98.06,98.06,98.06
01058066,41.8,34.41,0.18
01058067,94.94,93.67,88.19
01058068,25.82,15.02,2.35
01058069,84.62,0.43,0.0
01058070,47.13,27.96,0.54
01058071,3.24,0.54,0.54
01058072,93.32,72.55,0.22
01058073,84.96,53.98,2.65
01058074,95.83,95.83,95.83
01058075,6.9,0.0,0.0
01058076,70.18,66.67,66.67
01058077,97.65,96.1,95.6
01058078,82.01,70.02,0.44
01058080,7.07,0.84,0.84
01058081,6.79,0.62,0.62
01058082,74.81,74.55,74.55
01058083,3.41,1.14,1.14
01058084,74.58,72.03,68.64
01058085,96.19,96.19,96.19
01058086,76.51,58.9,4.2
01058087,98.09,97.71,95.04
01058088,3.85,1.28,1.28
01058089,1.25,0.0,0.0
01058090,71.39,61.23,50.56
01058091,89.47,85.79,84.74
01058092,99.42,98.98,96.34
01058093,15.88,2.17,0.0
01058094,91.75,87.96,87.96
01058096,6.4,0.35,0.35
01058097,6.32,5.26,1.05
01058098,91.25,91.25,91.25
01058099,87.46,74.61,55.17
01058100,93.09,90.65,86.59
01058101,91.41,65.03,0.0
01058102,10.34,4.14,0.34
01058103,97.92,97.92,97.92
01058104,94.39,89.82,86.2
01058105,96.41,91.67,87.75
01058106,95.05,95.05,95.05
01058107,99.87,99.0,94.4
01058108,96.08,96.08,96.08
01058109,95.24,95.24,95.24
01058110,10.15,7.34,7.13
01058111,13.46,1.92,1.92
01058112,3.19,0.2,0.2
01058113,91.02,91.02,91.02
01058115,96.91,93.05,93.05
01058116,1.88,0.0,0.0
01058117,97.54,89.68,68.54
01058118,94.3,81.58,58.92
01058119,5.83,0.83,0.83
01058120,100.0,100.0,100.0
01058121,6.38,4.19,4.01
01058122,93.99,77.68,0.0
01058123,3.87,0.77,0.52
01058124,97.19,93.25,88.67
01058125,96.97,96.97,96.97
01058126,97.43,95.85,90.12
01058127,45.93,37.48,0.49
01058128,95.4,87.98,78.93
01058129,2.63,0.0,0.0
01058130,88.69,70.21,0.28
01058131,100.0,93.88,93.88
01058132,92.31,89.01,2.2
01058133,98.39,98.39,96.77
01058134,95.14,92.97,92.97
01058135,99.26,98.41,96.34
01058136,98.65,94.83,92.36
01058137,75.04,71.69,57.69
01058138,61.81,32.16,0.0
01058139,92.1,72.04,0.0
01058140,98.67,96.46,86.79
01058141,82.25,68.64,12.43
01058142,2.09,0.47,0.47
01058143,92.04,92.04,92.04
01058144,79.52,79.52,79.52
01058145,1.63,0.0,0.0
01058146,81.66,71.28,4.84
01058147,96.01,93.84,91.67
01058148,90.04,74.5,0.8
01058150,7.93,5.01,0.82
01058151,96.79,96.79,96.79
01058152,37.01,20.62,0.28
01058153,94.37,94.37,94.37
01058154,2.27,0.76,0.76
01058155,81.21,56.97,0.0
01058156,23.93,3.68,0.61
01058157,89.93,88.91,84.38
01058158,8.0,8.0,8.0
01058159,96.32,94.12,94.12
01058160,95.45,93.94,0.0
01058161,79.67,65.04,61.79
01058162,66.42,63.77,61.13
01058163,94.16,90.91,89.39
01058164,93.81,90.93,90.93
01058165,31.75,20.41,14.23
01058166,64.61,64.28,64.28
01058167,96.18,92.37,90.84
01058168,96.78,96.09,96.09
01058169,91.96,90.0,90.0
01058170,98.97,98.97,98.97
01058171,53.75,43.7,1.21
01058172,96.0,88.9,83.16
01058173,78.94,68.29,42.13
01058174,77.29,74.9,73.71
01058175,3.33,1.9,1.9
01059001,64.18,37.31,1.49
01059002,100.0,100.0,100.0
01059005,79.88,59.13,0.0
01059006,76.55,47.88,1.3
01059008,33.06,24.93,0.0
01059009,63.72,52.68,0.0
01059010,77.78,59.78,1.88
01059012,91.87,91.39,91.39
01059018,98.18,92.62,65.52
01059019,94.31,93.33,93.33
01059020,33.7,17.04,0.74
01059023,80.85,65.35,0.61
01059024,70.36,51.79,0.92
01059026,95.67,95.59,95.59
01059032,92.95,92.31,92.31
01059034,76.15,60.0,23.85
01059035,91.11,88.33,0.83
01059037,38.11,28.65,0.29
01059039,72.25,60.32,0.69
01059041,3.67,0.61,0.61
01059042,86.89,78.92,0.26
01059043,92.17,89.65,89.65
01059044,87.74,68.81,1.71
01059045,92.47,87.88,83.56
01059049,49.74,20.11,0.0
01059050,63.87,48.74,0.84
01059051,94.93,89.86,2.17
01059053,69.46,63.45,49.38
01059055,36.63,20.79,0.99
01059056,67.31,62.5,62.5
01059057,2.77,0.43,0.43
01059058,41.13,25.66,0.75
01059060,56.35,40.18,0.46
01059062,93.32,87.47,87.47
